Date,Type,Total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,Quarantine
2020-04-13,end quarantine,7447,214,103,5395,39,19,23,33,22,305,28,31,109,8,6,1020,84,5,3
2020-04-13,death,217,2,3,147,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-14,under quarantine,2808,382,20,1230,46,6,15,8,25,313,19,14,26,9,9,263,31,7,385
2020-04-14,end quarantine,7534,228,103,5440,42,21,24,33,21,313,29,31,113,8,6,1029,84,5,4
2020-04-14,death,222,2,3,152,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-15,under quarantine,2750,376,17,1182,40,7,15,8,25,310,23,14,25,9,8,263,31,8,389
2020-04-15,end quarantine,7616,239,107,5486,48,21,24,33,21,322,27,31,114,8,7,1035,84,5,4
2020-04-15,death,225,2,3,155,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-16,under quarantine,2627,367,16,1083,37,6,14,7,25,305,24,11,24,8,8,258,33,8,393
2020-04-16,end quarantine,7757,250,111,5586,51,22,25,34,21,330,27,34,115,9,7,1044,82,5,4
2020-04-16,death,229,2,3,158,0,0,0,1,0,14,1,0,0,0,0,50,0,0,0
2020-04-17,under quarantine,2576,351,15,1042,38,8,15,7,22,296,23,8,24,8,8,269,31,8,403
2020-04-17,end quarantine,7829,268,112,5626,51,22,25,34,24,340,28,37,115,9,7,1037,84,5,5
2020-04-17,death,230,2,3,159,0,0,0,1,0,14,1,0,0,0,0,50,0,0,0
2020-04-18,under quarantine,2484,346,15,985,35,8,14,7,21,279,24,7,22,8,8,261,32,7,405
2020-04-18,end quarantine,7937,274,112,5685,55,22,25,34,25,361,28,38,119,9,7,1046,84,6,7
2020-04-18,death,232,2,3,160,0,0,0,1,0,14,1,0,0,0,0,51,0,0,0
2020-04-19,under quarantine,2385,334,12,928,36,8,14,7,17,270,23,7,19,8,7,251,31,7,406
2020-04-19,end quarantine,8042,288,115,5743,55,22,25,34,29,370,28,38,122,9,8,1057,85,6,8
2020-04-19,death,234,2,3,161,0,0,0,1,0,14,2,0,0,0,0,51,0,0,0
2020-04-20,under quarantine,2324,318,14,901,36,8,13,8,17,255,23,7,19,8,7,246,29,7,408
2020-04-20,end quarantine,8114,304,115,5769,56,22,26,34,29,387,28,38,122,9,8,1064,87,6,10
2020-04-20,death,236,2,3,163,0,0,0,1,0,14,2,0,0,0,0,51,0,0,0
